# pattern_requirement_id	status	project_type_id	source_path	target_path	usage_rule	enforcement_rule	required_evidence	exemption_state	audit_link	gap_link
web-patterns	active	web-application	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant web/UI/testing/security patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
mobile-patterns	active	mobile-application	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant mobile/testing/security patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
desktop-patterns	active	desktop-application	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant desktop/UI/testing/security patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
game-patterns	active	game-development	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult relevant testing/performance/UI patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
api-patterns	active	api-service	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult api/auth/database/security patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
full-stack-patterns	active	full-stack	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult frontend/api/database/security patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
cli-patterns	active	cli-tool	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult testing/security patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
data-patterns	active	data-pipeline	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult data/testing/observability patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
ml-patterns	active	machine-learning	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult ML/testing/observability patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
agent-patterns	active	ai-agent	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult AI/agent/testing/observability patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
cv-patterns	active	computer-vision	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult CV/video/testing/performance patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
extension-patterns	active	browser-extension	patterns/registry.yaml	scripts/enforcement/pattern-requirements.tsv	consult browser/UI/security/testing patterns	existing required-pattern gate applies	pattern read evidence or waiver	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#scaling-manifests-to-add	none
